team_id,team_name
1,Alaves
2,Arsenal
3,Aston Villa
4,Atalanta
5,Ath Bilbao
6,Ath Madrid
7,Augsburg
8,Barcelona
9,Bayern Munich
10,Betis
11,Bochum
12,Bologna
13,Bournemouth
14,Brentford
15,Brighton
16,Cagliari
17,Celta
18,Chelsea
19,Como
20,Crystal Palace
21,Dortmund
22,Ein Frankfurt
23,Empoli
24,Espanol
25,Everton
26,Fiorentina
27,Freiburg
28,Fulham
29,Genoa
30,Getafe
31,Girona
32,Heidenheim
33,Hoffenheim
34,Holstein Kiel
35,Inter
36,Ipswich
37,Juventus
38,Las Palmas
39,Lazio
40,Lecce
41,Leganes
42,Leicester
43,Leverkusen
44,Liverpool
45,M'Gladbach
46,Mainz
47,Mallorca
48,Man City
49,Man United
50,Milan
51,Monza
52,Napoli
53,Newcastle
54,Nott'M Forest
55,Osasuna
56,Parma
57,Rb Leipzig
58,Real Madrid
59,Roma
60,Sevilla
61,Sociedad
62,Southampton
63,St Pauli
64,Stuttgart
65,Torino
66,Tottenham
67,Udinese
68,Union Berlin
69,Valencia
70,Valladolid
71,Vallecano
72,Venezia
73,Verona
74,Villarreal
75,Werder Bremen
76,West Ham
77,Wolfsburg
78,Wolves
