bet_id,method,placed_ts,bankroll_before,planned_stake,executed_stake,pnl,result,skip_reason,bankroll_after,league,market,strategy,equity_peak,drawdown
B000004,fixed,2024-08-13 16:00:00,10000.0,100.0,100.0,33.0,win,,10033.0,Premier League,DNB_HOME,League_Specialist,10033.0,0.0
B000006,fixed,2024-08-14 10:30:00,10033.0,100.0,100.0,-100.0,loss,,9933.0,Premier League,DNB_HOME,Quant_Value,10033.0,-0.009967108541812042
B000002,fixed,2024-08-14 20:00:00,9933.0,100.0,100.0,21.0,win,,9954.0,La Liga,BTTS_YES,Aggressive_Momentum,10033.0,-0.007874015748031482
B000005,fixed,2024-08-14 21:00:00,9954.0,100.0,100.0,36.0,win,,9990.0,Premier League,DNB_HOME,Aggressive_Momentum,10033.0,-0.004285856672979205
B000017,fixed,2024-08-15 02:00:00,9990.0,100.0,100.0,82.0,win,,10072.0,Premier League,OVER_2_5,League_Specialist,10072.0,0.0
B000015,fixed,2024-08-15 03:30:00,10072.0,100.0,100.0,48.0,win,,10120.0,La Liga,BTTS_YES,Aggressive_Momentum,10120.0,0.0
B000010,fixed,2024-08-15 11:00:00,10120.0,100.0,100.0,-100.0,loss,,10020.0,Premier League,MONEYLINE_HOME,Aggressive_Momentum,10120.0,-0.00988142292490124
B000022,fixed,2024-08-15 12:30:00,10020.0,100.0,100.0,-100.0,loss,,9920.0,La Liga,MONEYLINE_HOME,Aggressive_Momentum,10120.0,-0.01976284584980237
B000009,fixed,2024-08-15 14:00:00,9920.0,100.0,100.0,0.0,push,,9920.0,Premier League,DNB_HOME,Quant_Value,10120.0,-0.01976284584980237
B000019,fixed,2024-08-15 19:30:00,9920.0,100.0,100.0,30.0,win,,9950.0,Serie A,BTTS_YES,Aggressive_Momentum,10120.0,-0.01679841897233203
B000014,fixed,2024-08-15 22:45:00,9950.0,100.0,100.0,-100.0,loss,,9850.0,Serie A,MONEYLINE_HOME,League_Specialist,10120.0,-0.02667984189723316
B000020,fixed,2024-08-16 02:45:00,9850.0,100.0,100.0,-100.0,loss,,9750.0,Serie A,OVER_2_5,Quant_Value,10120.0,-0.0365612648221344
B000001,fixed,2024-08-16 04:00:00,9750.0,100.0,100.0,72.0,win,,9822.0,La Liga,MONEYLINE_HOME,Quant_Value,10120.0,-0.029446640316205586
B000003,fixed,2024-08-16 04:00:00,9822.0,100.0,100.0,80.0,win,,9902.0,Premier League,MONEYLINE_HOME,Quant_Value,10120.0,-0.02154150197628457
B000021,fixed,2024-08-16 04:45:00,9902.0,100.0,100.0,-100.0,loss,,9802.0,Serie A,OVER_2_5,League_Specialist,10120.0,-0.03142292490118581
B000023,fixed,2024-08-16 06:00:00,9802.0,100.0,100.0,-100.0,loss,,9702.0,La Liga,BTTS_YES,Aggressive_Momentum,10120.0,-0.04130434782608694
B000013,fixed,2024-08-16 11:45:00,9702.0,100.0,100.0,0.0,push,,9702.0,Serie A,DNB_HOME,Quant_Value,10120.0,-0.04130434782608694
B000012,fixed,2024-08-16 15:30:00,9702.0,100.0,100.0,0.0,push,,9702.0,Serie A,DNB_HOME,Quant_Value,10120.0,-0.04130434782608694
B000008,fixed,2024-08-16 18:00:00,9702.0,100.0,100.0,-100.0,loss,,9602.0,Premier League,OVER_2_5,League_Specialist,10120.0,-0.05118577075098818
B000011,fixed,2024-08-17 02:30:00,9602.0,100.0,100.0,92.0,win,,9694.0,Premier League,OVER_2_5,League_Specialist,10120.0,-0.04209486166007903
B000007,fixed,2024-08-17 06:00:00,9694.0,100.0,100.0,46.0,win,,9740.0,Premier League,MONEYLINE_HOME,Quant_Value,10120.0,-0.03754940711462451
B000024,fixed,2024-08-17 09:30:00,9740.0,100.0,100.0,-100.0,loss,,9640.0,La Liga,MONEYLINE_HOME,Aggressive_Momentum,10120.0,-0.04743083003952564
B000016,fixed,2024-08-17 11:00:00,9640.0,100.0,100.0,26.0,win,,9666.0,Premier League,DNB_HOME,Quant_Value,10120.0,-0.044861660079051346
B000018,fixed,2024-08-17 14:30:00,9666.0,100.0,100.0,-100.0,loss,,9566.0,Premier League,MONEYLINE_HOME,League_Specialist,10120.0,-0.054743083003952586
B000033,fixed,2024-08-21 05:00:00,9566.0,100.0,100.0,77.0,win,,9643.0,Premier League,OVER_2_5,League_Specialist,10120.0,-0.04713438735177866
B000027,fixed,2024-08-21 15:00:00,9643.0,100.0,100.0,47.0,win,,9690.0,La Liga,MONEYLINE_HOME,Aggressive_Momentum,10120.0,-0.042490118577075076
B000032,fixed,2024-08-21 19:30:00,9690.0,100.0,100.0,-100.0,loss,,9590.0,Bundesliga,OVER_2_5,Aggressive_Momentum,10120.0,-0.052371541501976315
B000039,fixed,2024-08-21 22:30:00,9590.0,100.0,100.0,-100.0,loss,,9490.0,Bundesliga,MONEYLINE_HOME,League_Specialist,10120.0,-0.062252964426877444
B000043,fixed,2024-08-22 07:30:00,9490.0,100.0,100.0,40.0,win,,9530.0,La Liga,DNB_HOME,League_Specialist,10120.0,-0.05830039525691699
B000030,fixed,2024-08-22 10:30:00,9530.0,100.0,100.0,65.0,win,,9595.0,Bundesliga,OVER_2_5,League_Specialist,10120.0,-0.0518774703557312
B000031,fixed,2024-08-22 13:30:00,9595.0,100.0,100.0,36.0,win,,9631.0,Bundesliga,MONEYLINE_HOME,Quant_Value,10120.0,-0.0483201581027668
B000038,fixed,2024-08-22 14:30:00,9631.0,100.0,100.0,-100.0,loss,,9531.0,Bundesliga,DNB_HOME,Quant_Value,10120.0,-0.05820158102766804
B000028,fixed,2024-08-22 15:30:00,9531.0,100.0,100.0,-100.0,loss,,9431.0,Bundesliga,MONEYLINE_HOME,Quant_Value,10120.0,-0.06808300395256917
B000040,fixed,2024-08-22 20:15:00,9431.0,100.0,100.0,0.0,push,,9431.0,La Liga,DNB_HOME,Quant_Value,10120.0,-0.06808300395256917
B000026,fixed,2024-08-22 21:00:00,9431.0,100.0,100.0,65.0,win,,9496.0,La Liga,MONEYLINE_HOME,League_Specialist,10120.0,-0.061660079051383376
