bet_id,match_id,strategy,bookmaker,market,selection,captured_odds,closing_odds,stake,placed_ts,settled_ts,result,payout,pnl,clv,league
B000003,M00003,Aggressive_Momentum,Betano,MONEYLINE_HOME,HOME,1.17,1.24,118.28,2024-12-29 23:00:00,2025-01-01 19:00:00,win,138.39,20.11,-0.0565,Brasileirao
B000002,M00003,Quant_Value,1xBet,BTTS_YES,YES,1.61,1.6,66.53,2024-12-30 00:00:00,2025-01-01 19:00:00,loss,0.0,-66.53,0.0063,Brasileirao
B000001,M00002,League_Specialist,Stake,BTTS_YES,YES,1.06,1.09,103.58,2024-12-30 22:00:00,2025-01-01 21:00:00,loss,0.0,-103.58,-0.0275,La Liga
B000005,M00004,League_Specialist,Betano,MONEYLINE_HOME,HOME,3.96,3.9,105.64,2024-12-31 03:00:00,2025-01-02 22:00:00,loss,0.0,-105.64,0.0154,Serie A
B000010,M00007,League_Specialist,Stake,DNB_HOME,HOME,1.08,1.05,84.44,2024-12-31 10:00:00,2025-01-02 22:00:00,win,91.2,6.76,0.0286,Serie A
B000013,M00009,Quant_Value,Betano,BTTS_YES,YES,2.28,2.18,81.93,2024-12-31 11:00:00,2025-01-03 19:00:00,loss,0.0,-81.93,0.0459,Premier League
B000008,M00006,Aggressive_Momentum,Stake,OVER_2_5,YES,2.07,2.18,132.52,2024-12-31 12:00:00,2025-01-03 00:00:00,loss,0.0,-132.52,-0.0505,Premier League
B000018,M00011,Aggressive_Momentum,Pinnacle,BTTS_YES,YES,1.36,1.37,113.05,2024-12-31 21:00:00,2025-01-03 21:00:00,loss,0.0,-113.05,-0.0073,Serie A
B000025,M00015,Aggressive_Momentum,Stake,BTTS_YES,YES,1.41,1.44,139.23,2025-01-01 01:00:00,2025-01-04 18:00:00,win,196.31,57.08,-0.0208,Brasileirao
B000017,M00011,Quant_Value,Pinnacle,MONEYLINE_HOME,HOME,8.01,7.88,59.82,2025-01-01 01:00:00,2025-01-03 21:00:00,loss,0.0,-59.82,0.0165,Serie A
B000004,M00004,Quant_Value,Bet365,MONEYLINE_HOME,HOME,3.78,3.84,58.45,2025-01-01 02:00:00,2025-01-02 22:00:00,loss,0.0,-58.45,-0.0156,Serie A
B000007,M00005,Quant_Value,1xBet,OVER_2_5,YES,1.97,2.01,57.05,2025-01-01 05:00:00,2025-01-02 21:00:00,loss,0.0,-57.05,-0.0199,La Liga
B000009,M00007,Quant_Value,Pinnacle,OVER_2_5,YES,1.86,1.75,53.6,2025-01-01 09:00:00,2025-01-02 22:00:00,loss,0.0,-53.6,0.0629,Serie A
B000016,M00010,Aggressive_Momentum,Bet365,MONEYLINE_HOME,HOME,2.16,2.09,98.68,2025-01-01 12:00:00,2025-01-04 01:00:00,loss,0.0,-98.68,0.0335,Brasileirao
B000011,M00008,Quant_Value,Stake,OVER_2_5,YES,1.9,1.81,77.83,2025-01-01 18:00:00,2025-01-03 17:00:00,win,147.88,70.05,0.0497,La Liga
B000023,M00014,League_Specialist,Betano,OVER_2_5,YES,1.89,1.85,91.33,2025-01-01 21:00:00,2025-01-04 18:00:00,win,172.61,81.28,0.0216,Premier League
B000006,M00004,Aggressive_Momentum,Bet365,BTTS_YES,YES,1.18,1.2,88.15,2025-01-01 23:00:00,2025-01-02 22:00:00,loss,0.0,-88.15,-0.0167,Serie A
B000028,M00017,League_Specialist,Betano,BTTS_YES,YES,1.72,1.65,108.77,2025-01-02 06:00:00,2025-01-05 19:00:00,win,187.08,78.31,0.0424,Brasileirao
B000024,M00015,Quant_Value,Stake,OVER_2_5,YES,1.88,1.78,79.73,2025-01-02 11:00:00,2025-01-04 18:00:00,loss,0.0,-79.73,0.0562,Brasileirao
B000015,M00010,Quant_Value,Bet365,BTTS_YES,YES,1.09,1.12,104.72,2025-01-02 18:00:00,2025-01-04 01:00:00,win,114.14,9.42,-0.0268,Brasileirao
B000014,M00009,Aggressive_Momentum,Pinnacle,DNB_HOME,HOME,1.05,1.05,85.27,2025-01-02 21:00:00,2025-01-03 19:00:00,push,85.27,0.0,0.0,Premier League
B000035,M00023,League_Specialist,Stake,DNB_HOME,HOME,1.61,1.54,123.19,2025-01-02 22:00:00,2025-01-06 17:00:00,loss,0.0,-123.19,0.0455,Serie A
B000012,M00008,League_Specialist,Bet365,OVER_2_5,YES,1.76,1.75,134.2,2025-01-03 00:00:00,2025-01-03 17:00:00,win,236.19,101.99,0.0057,La Liga
B000019,M00012,Quant_Value,1xBet,MONEYLINE_HOME,HOME,1.78,1.66,59.64,2025-01-03 01:00:00,2025-01-04 22:00:00,win,106.16,46.52,0.0723,La Liga
B000032,M00021,Aggressive_Momentum,1xBet,OVER_2_5,YES,1.61,1.71,102.21,2025-01-03 13:00:00,2025-01-06 23:00:00,win,164.56,62.35,-0.0585,La Liga
B000026,M00016,League_Specialist,Betano,MONEYLINE_HOME,HOME,3.85,3.63,51.65,2025-01-03 15:00:00,2025-01-05 18:00:00,loss,0.0,-51.65,0.0606,Serie A
B000021,M00013,Aggressive_Momentum,Bet365,MONEYLINE_HOME,HOME,7.22,6.9,231.68,2025-01-03 17:00:00,2025-01-04 22:00:00,win,1672.73,1441.05,0.0464,Premier League
B000022,M00014,Quant_Value,Betano,MONEYLINE_HOME,HOME,1.72,1.7,79.18,2025-01-04 00:00:00,2025-01-04 18:00:00,win,136.19,57.01,0.0118,Premier League
B000027,M00016,Aggressive_Momentum,Betano,OVER_2_5,YES,1.95,1.99,175.5,2025-01-04 00:00:00,2025-01-05 18:00:00,win,342.22,166.72,-0.0201,Serie A
B000030,M00019,Quant_Value,1xBet,BTTS_YES,YES,1.24,1.19,94.23,2025-01-04 01:00:00,2025-01-05 22:00:00,loss,0.0,-94.23,0.042,Brasileirao
B000033,M00022,League_Specialist,Pinnacle,DNB_HOME,HOME,2.13,2.06,95.73,2025-01-04 05:00:00,2025-01-07 00:00:00,loss,0.0,-95.73,0.034,La Liga
B000031,M00020,Aggressive_Momentum,Pinnacle,BTTS_YES,YES,1.21,1.21,159.55,2025-01-04 10:00:00,2025-01-06 19:00:00,loss,0.0,-159.55,0.0,Premier League
B000020,M00012,Aggressive_Momentum,Stake,BTTS_YES,YES,1.21,1.25,107.1,2025-01-04 13:00:00,2025-01-04 22:00:00,win,129.59,22.49,-0.032,La Liga
B000029,M00018,Quant_Value,Pinnacle,OVER_2_5,YES,1.71,1.65,33.76,2025-01-04 19:00:00,2025-01-05 18:00:00,win,57.73,23.97,0.0364,Premier League
B000041,M00027,League_Specialist,Stake,OVER_2_5,YES,1.81,1.76,88.58,2025-01-04 20:00:00,2025-01-07 22:00:00,win,160.33,71.75,0.0284,Premier League
B000043,M00028,Aggressive_Momentum,1xBet,BTTS_YES,YES,1.24,1.22,104.82,2025-01-05 11:00:00,2025-01-09 00:00:00,loss,0.0,-104.82,0.0164,Brasileirao
B000037,M00025,Quant_Value,Betano,DNB_HOME,HOME,1.14,1.13,80.92,2025-01-05 16:00:00,2025-01-07 17:00:00,win,92.25,11.33,0.0088,Premier League
B000036,M00023,Aggressive_Momentum,Pinnacle,MONEYLINE_HOME,HOME,2.15,2.08,133.22,2025-01-05 22:00:00,2025-01-06 17:00:00,loss,0.0,-133.22,0.0337,Serie A
B000039,M00026,Quant_Value,1xBet,MONEYLINE_HOME,HOME,1.98,1.95,80.65,2025-01-05 22:00:00,2025-01-07 20:00:00,win,159.69,79.04,0.0154,Premier League
B000049,M00032,Quant_Value,1xBet,MONEYLINE_HOME,HOME,1.77,1.73,48.93,2025-01-06 03:00:00,2025-01-09 22:00:00,loss,0.0,-48.93,0.0231,La Liga
